Virginia	F	16162	1926
Mildred	F	13551	1926
Frances	F	13355	1926
Robert	M	61130	1926
John	M	56110	1926
James	M	53209	1926
William	M	51920	1926
Charles	M	29521	1926
George	M	25904	1926
Richard	M	25149	1926
Joseph	M	23759	1926
Donald	M	20912	1926
Edward	M	19378	1926
Mary	F	70639	1927
Dorothy	F	35987	1927
Betty	F	35422	1927
Helen	F	25320	1927
Margaret	F	21964	1927
Ruth	F	19414	1927
Doris	F	16510	1927
Virginia	F	15725	1927
Shirley	F	13315	1927
Barbara	F	13161	1927
Robert	M	61669	1927
John	M	55954	1927
James	M	53674	1927
William	M	51482	1927
Charles	M	31936	1927
Richard	M	26771	1927
George	M	25949	1927
Donald	M	23840	1927
Joseph	M	23506	1927
Edward	M	19113	1927
Mary	F	66872	1928
Betty	F	36080	1928
Dorothy	F	33731	1928
Helen	F	22934	1928
Margaret	F	20295	1928
Ruth	F	17858	1928
Doris	F	16572	1928
Barbara	F	14873	1928
Virginia	F	14501	1928
Shirley	F	14212	1928
Robert	M	60699	1928
John	M	53755	1928
James	M	52754	1928
William	M	49117	1928
Charles	M	31247	1928
Richard	M	28794	1928
Donald	M	25698	1928
George	M	24400	1928
Joseph	M	22311	1928
Edward	M	18489	1928
Mary	F	63508	1929
Betty	F	36675	1929
Dorothy	F	31477	1929
Helen	F	20985	1929
Margaret	F	19206	1929
Doris	F	16496	1929
Barbara	F	16037	1929
Ruth	F	16019	1929
Shirley	F	14579	1929
Patricia	F	13625	1929
Robert	M	59798	1929
James	M	52127	1929
John	M	52113	1929
William	M	47805	1929
Charles	M	29931	1929
Richard	M	29569	1929
Donald	M	27186	1929
George	M	23017	1929
Joseph	M	21162	1929
Edward	M	17226	1929
Mary	F	64146	1930
Betty	F	38234	1930
Dorothy	F	30409	1930
Helen	F	19914	1930
Margaret	F	18354	1930
Barbara	F	18281	1930
Patricia	F	15751	1930
Joan	F	15479	1930
Doris	F	15464	1930
Ruth	F	14940	1930
Robert	M	62149	1930
James	M	53941	1930
John	M	52434	1930
William	M	47265	1930
Richard	M	32183	1930
Charles	M	31871	1930
Donald	M	29048	1930
George	M	22784	1930
Joseph	M	20981	1930
Edward	M	17349	1930
Mary	F	60296	1931
Betty	F	36105	1931
Dorothy	F	26524	1931
Barbara	F	21797	1931
Joan	F	19117	1931
Helen	F	17661	1931
Margaret	F	17333	1931
Patricia	F	16468	1931
